id,Stad,Property type,Region,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score
10663332,Geraardsbergen,0,FLANDERS,HOUSE,179000,residential_sale,0,3,103,INSTALLED,0,0,0,0,532,2,0,GOOD,F
10491057,Knokke-Zoute,0,FLANDERS,HOUSE,1250000,residential_sale,2004,5,180,HYPER_EQUIPPED,0,1,0,0,145,2,0,AS_NEW,B
10663323,Knokke-Zoute,0,FLANDERS,HOUSE,1250000,residential_sale,2004,5,180,HYPER_EQUIPPED,0,1,0,0,145,2,0,AS_NEW,B
10663322,Knokke-Heist,URBAN,FLANDERS,APARTMENT,2095000,residential_sale,2013,3,97,HYPER_EQUIPPED,0,0,1,1,0,2,0,AS_NEW,A
10663324,Grandmetz,COUNTRY,WALLONIE,HOUSE,220000,residential_sale,0,4,125,INSTALLED,0,0,0,1,360,2,0,GOOD,D
10657615,Knokke-Heist,URBAN,FLANDERS,APARTMENT,2095000,residential_sale,2013,3,97,HYPER_EQUIPPED,0,0,1,1,0,2,0,AS_NEW,A
10632787,Kapellen,0,FLANDERS,HOUSE,449900,residential_sale,1953,5,236,0,0,0,0,1,451,0,0,0,C
10663320,Knokke-Heist,URBAN,FLANDERS,APARTMENT,435000,residential_sale,0,2,70,HYPER_EQUIPPED,0,0,1,0,0,2,0,AS_NEW,B
10663321,Knokke-Heist,URBAN,FLANDERS,APARTMENT,575000,residential_sale,0,2,85,HYPER_EQUIPPED,0,0,1,0,0,2,0,AS_NEW,A
10663318,Merlemont,COUNTRY,WALLONIE,HOUSE,278000,residential_sale,1953,3,0,0,0,0,1,0,950,0,0,TO_BE_DONE_UP,E
10663298,Oedelem,RESIDENTIAL,FLANDERS,VILLA,575000,residential_sale,1998,6,0,INSTALLED,0,0,0,0,969,4,0,GOOD,0
10523768,Langemark-Poelkapelle,0,FLANDERS,HOUSE,199000,residential_sale,0,2,126,SEMI_EQUIPPED,0,0,1,1,460,0,0,TO_BE_DONE_UP,F
10582064,Alveringem,COUNTRY,FLANDERS,HOUSE,299500,residential_sale,1960,3,169,INSTALLED,0,0,1,1,188,0,0,AS_NEW,C
10663317,Butgenbach,COUNTRY,WALLONIE,HOUSE,328000,residential_sale,1968,5,189,INSTALLED,0,0,1,1,822,4,0,GOOD,D
10364395,Schendelbeke,0,FLANDERS,HOUSE,298000,residential_sale,2021,3,126,0,0,0,0,0,350,0,0,0,A
10663307,Alveringem,COUNTRY,FLANDERS,HOUSE,299500,residential_sale,1960,3,169,INSTALLED,0,0,1,1,188,0,0,AS_NEW,C
10663293,Pittem,0,FLANDERS,HOUSE,329000,residential_sale,0,3,160,0,0,0,1,0,398,0,0,0,0
10663291,Drongen,0,FLANDERS,HOUSE,439000,residential_sale,1968,3,252,INSTALLED,0,0,0,0,589,3,0,TO_RENOVATE,F
10663294,Bredene,0,FLANDERS,PENTHOUSE,489000,residential_sale,2020,2,135,HYPER_EQUIPPED,0,0,1,0,0,2,0,AS_NEW,A
10663287,Kortrijk,0,FLANDERS,APARTMENT,199000,residential_sale,0,4,157,INSTALLED,0,0,1,1,0,0,0,GOOD,D
10663285,Kortrijk,0,FLANDERS,APARTMENT,171000,residential_sale,0,3,103,INSTALLED,0,0,1,1,0,0,0,GOOD,C
10663288,Kortrijk,0,FLANDERS,MIXED_USE_BUILDING,370000,residential_sale,0,7,260,INSTALLED,0,0,1,1,342,0,0,GOOD,C
10663283,Zottegem,0,FLANDERS,HOUSE,249500,residential_sale,0,3,137,0,0,0,0,0,0,0,0,TO_RENOVATE,F
10520706,Moorsel,0,FLANDERS,HOUSE,469000,residential_sale,1967,2,110,SEMI_EQUIPPED,0,1,1,1,478,3,0,TO_BE_DONE_UP,E
10663280,Gent,0,FLANDERS,APARTMENT,320000,residential_sale,1947,3,165,INSTALLED,0,0,0,0,0,0,0,TO_BE_DONE_UP,C
10663297,Lievegem,0,FLANDERS,HOUSE,699000,residential_sale,1850,3,229,INSTALLED,0,0,1,0,7540,0,0,0,F
10580306,SINT-AGATHA-BERCHEM,0,BRUSSELS,TOWN_HOUSE,479000,residential_sale,1958,3,165,INSTALLED,0,1,1,1,156,2,0,GOOD,G
10563825,Etterbeek,MALL,BRUSSELS,HOUSE,479000,residential_sale,0,5,170,USA_INSTALLED,0,0,0,0,67,2,0,TO_BE_DONE_UP,F
10598398,Ottignies,URBAN,WALLONIE,HOUSE,475000,residential_sale,1979,4,192,0,0,0,1,1,1016,4,0,TO_BE_DONE_UP,D
10607034,Willebroek,0,FLANDERS,HOUSE,477000,residential_sale,1981,3,0,INSTALLED,0,1,1,1,1127,4,0,TO_RENOVATE,D
10358867,Grez-Doiceau,COUNTRY,WALLONIE,HOUSE,470000,residential_sale,0,6,459,INSTALLED,0,1,1,1,980,4,0,0,C
10578253,Ferrieres,0,WALLONIE,VILLA,475000,residential_sale,2019,4,192,INSTALLED,0,0,1,0,4473,4,0,AS_NEW,A
10425950,HINGEON,0,WALLONIE,HOUSE,479000,residential_sale,2011,4,190,INSTALLED,0,1,0,1,6283,4,0,0,B
10622361,Etterbeek,0,BRUSSELS,HOUSE,480000,residential_sale,1900,4,189,USA_INSTALLED,0,0,0,1,135,2,0,TO_RENOVATE,F
10557696,Lasne,ISOLATED,WALLONIE,HOUSE,480000,residential_sale,1980,3,180,INSTALLED,0,0,1,1,1452,4,0,0,D
10572636,Gesves,0,WALLONIE,HOUSE,480000,residential_sale,1900,4,160,INSTALLED,0,0,1,1,2487,4,0,GOOD,C
10629674,Dion-Valmont,COUNTRY,WALLONIE,HOUSE,495000,residential_sale,1976,5,240,INSTALLED,0,0,0,1,1427,4,0,0,D
10480616,CORBAIS,0,WALLONIE,VILLA,495000,residential_sale,1980,5,165,INSTALLED,0,1,1,1,2815,4,0,GOOD,E
10480617,CORBAIS,0,WALLONIE,BUNGALOW,495000,residential_sale,1980,5,165,INSTALLED,0,1,1,1,2815,4,0,GOOD,E
10379641,Ronse,0,FLANDERS,HOUSE,495000,residential_sale,1874,5,550,0,0,1,1,0,430,2,0,TO_BE_DONE_UP,B
10379636,Ronse,0,FLANDERS,MIXED_USE_BUILDING,495000,residential_sale,1874,5,550,0,0,1,1,0,430,2,0,TO_BE_DONE_UP,B
10451068,Mettet,0,WALLONIE,HOUSE,499000,residential_sale,1986,3,370,USA_HYPER_EQUIPPED,0,0,1,1,1000,4,1,AS_NEW,D
10628833,Merelbeke,0,FLANDERS,HOUSE,499000,residential_sale,1987,3,235,SEMI_EQUIPPED,0,1,0,1,600,3,0,0,C
10526179,Orp-Jauche,ISOLATED,WALLONIE,HOUSE,500900,residential_sale,2023,3,178,USA_HYPER_EQUIPPED,0,0,1,1,474,3,0,AS_NEW,A+
10648877,Gent,URBAN,FLANDERS,HOUSE,499000,residential_sale,0,3,195,SEMI_EQUIPPED,0,0,0,1,137,2,0,TO_RENOVATE,E
10642986,MONT-SAINT-GUIBERT,0,WALLONIE,APARTMENT_BLOCK,495000,residential_sale,0,6,260,0,0,1,1,0,347,4,0,TO_RENOVATE,C
